date,value
2015-4-27 1:20,1905
2015-4-27 1:25,2690
2015-4-27 1:30,2900
2015-4-27 1:35,2577
2015-4-27 1:40,2694
2015-4-27 1:45,2941
2015-4-27 1:50,4334
2015-4-27 1:55,3366
2015-4-27 2:00,2551
2015-4-27 2:05,2887
2015-4-27 2:10,2841
2015-4-27 2:15,3043
2015-4-27 2:20,2415
2015-4-27 2:25,2174
2015-4-27 2:30,2038
2015-4-27 2:35,2202
2015-4-27 2:40,2110
2015-4-27 2:45,1961
2015-4-27 2:50,3339
2015-4-27 2:55,2235
2015-4-27 3:00,1733
2015-4-27 3:05,1603
2015-4-27 3:10,1678
2015-4-27 3:15,1961
2015-4-27 3:20,2016
2015-4-27 3:25,3548
2015-4-27 3:30,3247
2015-4-27 3:35,3273
2015-4-27 3:40,3210
2015-4-27 3:45,2869
2015-4-27 3:50,4571
2015-4-27 3:55,3454
2015-4-27 4:00,2752
2015-4-27 4:05,2591
2015-4-27 4:10,2633
2015-4-27 4:15,2844
2015-4-27 4:20,2520
